id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,price,number_of_reviews,review_scores_location
5285553,East Harlem,Manhattan,40.79307,-73.93384,Entire home/apt,4,110,24,4.26
5286096,Midtown,Manhattan,40.74796,-73.98546,Entire home/apt,3,268,3,4.67
5287414,Gramercy,Manhattan,40.73765,-73.98275,Shared room,2,68,71,4.93
5287733,South Ozone Park,Queens,40.66843,-73.82541,Private room,3,85,243,4.69
5288228,East Morrisania,Bronx,40.83928,-73.88631,Private room,1,39,15,4.27
5291956,Sunset Park,Brooklyn,40.66246,-73.9933,Entire home/apt,1,100,14,4.79
5293662,Fort Greene,Brooklyn,40.69189,-73.97048,Entire home/apt,2,70,1,5.00
5297292,Bedford-Stuyvesant,Brooklyn,40.68285,-73.92195,Entire home/apt,6,300,119,4.26
5298299,Chelsea,Manhattan,40.74009,-73.99719,Private room,2,109,2,5.00
5298458,Washington Heights,Manhattan,40.85521,-73.93168,Entire home/apt,3,77,5,4.00
5298896,Financial District,Manhattan,40.70419,-74.01127,Private room,2,145,189,4.96
5301003,South Slope,Brooklyn,40.6658,-73.98555,Entire home/apt,4,162,217,4.98
5303100,Greenpoint,Brooklyn,40.72739,-73.94121,Private room,1,49,2,5.00
5304431,Greenpoint,Brooklyn,40.72756,-73.9407,Entire home/apt,5,179,17,4.53
5309343,West Village,Manhattan,40.73183,-74.00649,Entire home/apt,2,175,0,0.00
5309448,Williamsburg,Brooklyn,40.71372,-73.94434,Private room,2,102,1,5.00
5309959,Richmond Hill,Queens,40.69579,-73.83174,Private room,1,46,27,4.88
5313584,Crown Heights,Brooklyn,40.67464,-73.95735,Private room,2,52,0,0.00
5315798,Williamsburg,Brooklyn,40.71425,-73.96054,Private room,2,90,1,5.00
5316158,Clinton Hill,Brooklyn,40.68596,-73.96443,Entire home/apt,4,175,8,4.71
5319150,Williamsburg,Brooklyn,40.71268,-73.95693,Entire home/apt,2,120,21,4.94
5319431,Upper East Side,Manhattan,40.78673,-73.95512,Entire home/apt,2,120,26,4.83
5319785,Gramercy,Manhattan,40.73722,-73.98039,Entire home/apt,2,159,26,4.96
5320325,Harlem,Manhattan,40.81568,-73.94912,Private room,1,40,107,4.50
5320983,DUMBO,Brooklyn,40.70264,-73.98808,Entire home/apt,6,350,291,4.91
5327598,East Village,Manhattan,40.72372,-73.98523,Entire home/apt,3,199,1,5.00
5335792,East Village,Manhattan,40.72604,-73.99016,Private room,2,100,0,0.00
5337757,Greenpoint,Brooklyn,40.72724,-73.94208,Private room,1,40,92,4.78
5340170,Park Slope,Brooklyn,40.6732,-73.98477,Private room,2,45,2,5.00
5340262,Flushing,Queens,40.74537,-73.83252,Private room,2,58,276,4.51
5343821,Midtown,Manhattan,40.75758,-73.96519,Entire home/apt,2,200,108,4.96
5352301,East Flatbush,Brooklyn,40.6575,-73.92244,Private room,1,27,12,4.75
5352802,Midtown,Manhattan,40.7487,-73.98316,Entire home/apt,4,229,2,5.00
5353312,Upper East Side,Manhattan,40.77375,-73.95215,Entire home/apt,2,99,20,4.95
5353431,Bedford-Stuyvesant,Brooklyn,40.69413,-73.95731,Entire home/apt,2,80,5,3.80
5353612,West Village,Manhattan,40.73478,-74.00734,Entire home/apt,2,296,296,5.00
5354796,University Heights,Bronx,40.85477,-73.91597,Private room,2,58,152,4.25
5358354,Hell's Kitchen,Manhattan,40.76681,-73.98638,Entire home/apt,4,160,27,4.89
5359410,Bushwick,Brooklyn,40.69713,-73.92447,Private room,2,50,1,5.00
5362041,Harlem,Manhattan,40.81115,-73.95334,Entire home/apt,5,257,123,4.78
5362279,Brooklyn Heights,Brooklyn,40.69477,-73.99225,Entire home/apt,2,200,24,5.00
5363874,Kips Bay,Manhattan,40.74259,-73.97949,Entire home/apt,4,250,14,4.77
5364337,Bedford-Stuyvesant,Brooklyn,40.68941,-73.94206,Private room,2,70,0,0.00
5364814,Bushwick,Brooklyn,40.69983,-73.92549,Entire home/apt,6,125,1,3.00
5370580,Corona,Queens,40.73794,-73.85343,Private room,1,41,67,4.69
